id_candidat,id_hypothèse,borne_sup,borne_inf,resultat
16,21,0.9709,0.0291,0.5
8,21,2.3115,0.6885,1.5
9,21,2.9347,1.0653,2
15,21,2.3115,0.6885,1.5
14,21,10.9107,7.0893,9
1,21,6.4551,3.5449,5
11,21,9.8113,6.1887,8
10,21,2.3115,0.6885,1.5
12,21,32.0295,25.9705,29
6,21,2.9347,1.0653,2
15,22,2.3066,0.6934,1.5
16,22,0.9681,0.0319,0.5
2,22,5.3004,2.6996,4
10,22,2.3066,0.6934,1.5
11,22,9.8003,6.1997,8
8,22,2.3066,0.6934,1.5
1,22,5.3004,2.6996,4
9,22,2.9291,1.0709,2
6,22,2.9291,1.0709,2
4,22,10.8991,7.1009,9
3,22,29.9462,24.0538,27
5,22,13.0764,8.9236,11
12,22,30.9796,25.0204,28
8,23,2.2971,0.7029,1.5
11,23,8.6732,5.3268,7
3,23,20.5193,15.4807,18
6,23,2.9181,1.0819,2
2,23,2.2971,0.7029,1.5
10,23,2.2971,0.7029,1.5
15,23,1.6525,0.3475,1
1,23,5.285,2.715,4
4,23,9.779,6.221,8
16,23,0.9625,0.0375,0.5
13,23,14.131,9.869,12
7,23,17.3415,12.6585,15
12,23,28.8764,23.1236,26
9,23,2.9181,1.0819,2
9,24,2.9235,1.0765,2
1,24,6.4377,3.5623,5
16,24,1.6563,0.3437,1
12,24,28.8935,23.1065,26
10,24,2.3018,0.6982,1.5
11,24,9.2375,5.7625,7.5
4,24,9.7896,6.2104,8
2,24,3.5299,1.4701,2.5
7,24,17.3554,12.6446,15
5,24,10.8878,7.1122,9
6,24,3.5299,1.4701,2.5
15,24,1.6563,0.3437,1
8,24,1.6563,0.3437,1
3,24,20.5343,15.4657,18
7,25,17.3696,12.6304,15
6,25,3.5361,1.4639,2.5
3,25,21.6034,16.3966,19
10,25,2.3066,0.6934,1.5
2,25,4.132,1.868,3
4,25,10.3507,6.6493,8.5
15,25,1.6603,0.3397,1
14,25,9.8003,6.1997,8
12,25,29.9462,24.0538,27
9,25,2.9291,1.0709,2
8,25,1.6603,0.3397,1
16,25,0,0,0
1,25,5.3004,2.6996,4
11,25,9.2479,5.7521,7.5
3,26,30.273,25.727,28
2,26,7.2023,4.7977,6
1,26,6.1033,3.8967,5
16,26,1.5037,0.4963,1
6,26,1.5037,0.4963,1
15,26,3.8636,2.1364,3
8,26,0,0,0
11,26,12.584,9.416,11
4,26,6.1033,3.8967,5
10,26,2.7087,1.2913,2
20,26,0,0,0
5,26,10.4488,7.5512,9
12,26,29.2475,24.7525,27
19,26,2.7087,1.2913,2
1,27,6.0967,3.9033,5
10,27,2.7045,1.2955,2
19,27,1.5007,0.4993,1
12,27,27.179,22.821,25
4,27,7.1951,4.8049,6
8,27,0,0,0
2,27,6.0967,3.9033,5
16,27,1.5007,0.4993,1
3,27,28.2073,23.7927,26
11,27,12.5745,9.4255,11
6,27,1.5007,0.4993,1
20,27,0,0,0
13,27,16.7969,13.2031,15
15,27,2.7045,1.2955,2
17,28,1.6656,0.3344,1
13,28,17.3886,12.6114,15
16,28,0,0,0
10,28,1.6656,0.3344,1
6,28,4.1411,1.8589,3
9,28,5.3109,2.6891,4
12,28,25.8151,20.1849,23
21,28,2.9365,1.0635,2
7,28,13.0931,8.9069,11
3,28,20.57,15.43,18
19,28,0,0,0
1,28,9.8148,6.1852,8
20,28,0,0,0
11,28,13.0931,8.9069,11
15,28,0,0,0
2,28,2.9365,1.0635,2
8,28,1.6656,0.3344,1
9,29,4.155,1.845,3
6,29,4.155,1.845,3
17,29,1.6737,0.3263,1
7,29,13.1184,8.8816,11
1,29,8.7275,5.2725,7
2,29,2.9479,1.0521,2
4,29,7.6079,4.3921,6
16,29,0,0,0
3,29,21.6561,16.3439,19
15,29,0,0,0
19,29,0,0,0
12,29,25.8493,20.1507,23
10,29,1.6737,0.3263,1
11,29,13.1184,8.8816,11
5,29,14.2002,9.7998,12
20,29,0,0,0
8,29,1.6737,0.3263,1
6,30,4.1344,1.8656,3
10,30,1.6617,0.3383,1
7,30,13.0807,8.9193,11
12,30,25.7985,20.2015,23
8,30,1.6617,0.3383,1
15,30,0,0,0
2,30,2.931,1.069,2
16,30,0,0,0
19,30,0,0,0
17,30,1.6617,0.3383,1
11,30,13.0807,8.9193,11
3,30,20.5548,15.4452,18
1,30,8.6967,5.3033,7
20,30,0,0,0
4,30,7.5793,4.4207,6
9,30,2.931,1.069,2
13,30,16.3075,11.6925,14
11,31,8.6382,5.3618,7
20,31,0.9529,0.0471,0.5
12,31,30.8828,25.1172,28
8,31,0.9529,0.0471,0.5
3,31,28.8163,23.1837,26
6,31,5.2582,2.7418,4
13,31,20.4667,15.5333,18
15,31,2.8989,1.1011,2
2,31,5.831,3.169,4.5
10,31,1.6388,0.3612,1
1,31,9.7419,6.2581,8
19,31,0.9529,0.0471,0.5
12,32,30.8787,25.1213,28
6,32,4.6783,2.3217,3.5
22,32,15.1562,10.8438,13
15,32,4.0937,1.9063,3
10,32,1.6379,0.3621,1
3,32,28.8123,23.1877,26
2,32,4.6783,2.3217,3.5
1,32,7.5226,4.4774,6
4,32,8.6358,5.3642,7
19,32,0.9522,0.0478,0.5
20,32,0.9522,0.0478,0.5
8,32,0.9522,0.0478,0.5
11,32,9.1887,5.8113,7.5
8,33,0.9535,0.0465,0.5
19,33,0.9535,0.0465,0.5
1,33,8.0851,4.9149,6.5
12,33,28.8203,23.1797,26
5,33,16.2311,11.7689,14
3,33,28.8203,23.1797,26
2,33,5.8329,3.1671,4.5
6,33,4.6817,2.3183,3.5
20,33,0.9535,0.0465,0.5
4,33,8.6405,5.3595,7
15,33,3.5039,1.4961,2.5
11,33,9.1936,5.8064,7.5
10,33,1.6398,0.3602,1
11,34,8.6405,5.3595,7
10,34,1.6398,0.3602,1
12,34,28.8203,23.1797,26
2,34,5.26,2.74,4
13,34,20.9967,16.0033,18.5
8,34,0.9535,0.0465,0.5
3,34,29.8546,24.1454,27
20,34,0.9535,0.0465,0.5
6,34,5.26,2.74,4
15,34,2.9002,1.0998,2
4,34,10.8401,7.1599,9
19,34,0.9535,0.0465,0.5
3,35,28.7904,23.2096,26
2,35,5.2466,2.7534,4
15,35,2.8906,1.1094,2
12,35,26.7169,21.2831,24
20,35,0.9487,0.0513,0.5
19,35,0.9487,0.0513,0.5
10,35,1.633,0.367,1
11,35,8.6231,5.3769,7
8,35,0.9487,0.0513,0.5
1,35,7.5108,4.4892,6
